,source,target,weight,confidence
170,HNF4A,PCSK9,1.0,A
171,HNF4A,LDLR,1.0,A
172,HNF4A,GPR39,1.0,A
173,HNF4A,CEACAM1,1.0,A
174,HNF4A,ABCG5,-1.0,A
175,HLF,RUNX1,-1.0,A
176,HOXA10,ITGB3,1.0,A
177,ETS1,COL1A1,1.0,A
178,IRF4,FCER2,1.0,A
179,IRF7,CXCL10,1.0,A
180,JUN,TXN,1.0,A
181,JUN,TNFRSF10A,1.0,A
182,JUN,TIMP2,1.0,A
183,JUN,SPRR3,1.0,A
184,JUN,RARB,1.0,A
185,JUN,POLD2,1.0,A
186,JUN,PDHA1,1.0,A
187,JUN,NOX5,1.0,A
188,JUN,NFKB2,1.0,A
189,JUN,RUNX2,1.0,A
190,IRF5,TNF,1.0,A
191,JUN,MGP,1.0,A
192,JUN,HEY1,1.0,A
193,JUN,ETS2,1.0,A
194,JUN,CTSL,1.0,A
195,JUN,CREM,1.0,A
196,JUN,CD82,1.0,A
197,JUN,BATF3,1.0,A
198,IRF9,PML,1.0,A
199,IRF9,IL27,-1.0,A
200,JUN,ACTA1,1.0,A
201,IRF7,IFNA2,1.0,A
202,JUN,LBP,-1.0,A
203,ETS1,CD8A,1.0,A
204,ETS1,EMSY,1.0,A
205,ESRRA,NR2F6,-1.0,A
206,CEBPA,STAT3,1.0,A
207,CEBPA,SLC10A1,1.0,A
208,CEBPA,SERPINC1,1.0,A
209,CEBPA,SAA1,1.0,A
210,CEBPA,PCK2,1.0,A
211,CEBPA,MSR1,1.0,A
212,CEBPA,MAD1L1,1.0,A
213,CEBPA,IL5,1.0,A
214,CEBPA,IL3,1.0,A
215,CEBPA,IL10,1.0,A
216,CEBPA,IGF1,1.0,A
217,CEBPA,ID1,1.0,A
218,CEBPA,ICAM1,1.0,A
219,CEBPA,HSPA4,1.0,A
220,CEBPA,HOMER3,1.0,A
221,CEBPA,CXCR2,1.0,A
222,CEBPA,CSF1,1.0,A
223,CEBPA,FN1,1.0,A
224,CDX2,SLC9A2,1.0,A
225,BCL6,IRF4,-1.0,A
226,BCL6,HDAC7,-1.0,A
227,CEBPA,VLDLR,1.0,A
228,CEBPB,CSF3R,1.0,A
229,CEBPB,CSRP1,1.0,A
230,CEBPB,F8,1.0,A
231,CREB1,SLC19A1,1.0,A
232,CREB1,ODC1,1.0,A
233,CREB1,NTS,1.0,A
234,CREB1,MSMB,1.0,A
235,CREB1,HPGD,1.0,A
236,CREB1,HLA-DQB1,1.0,A
237,CREB1,ERBB2,1.0,A
238,CREB1,CYP17A1,1.0,A
239,CREB1,CYP11B1,1.0,A
240,CREB1,CXCR4,1.0,A
241,ATF6,SRF,1.0,A
242,CREB1,CCL5,1.0,A
243,CREB1,ADRA1A,1.0,A
244,CEBPE,MYC,-1.0,A
245,CEBPE,GATA1,-1.0,A
246,CEBPE,CTSG,1.0,A
247,CEBPD,POU5F1,1.0,A
248,CEBPD,GADD45G,1.0,A
249,CEBPB,SLC10A1,1.0,A
250,CEBPB,IL24,1.0,A
251,CEBPB,GADD45G,1.0,A
252,CEBPB,FURIN,1.0,A
253,CREB1,BDKRB1,1.0,A
254,ATF6,RTN3,1.0,A
255,ATF6,DNAJC3,1.0,A
256,ATF6,DDIT3,1.0,A
257,AR,FOXA1,1.0,A
258,AR,CDH2,1.0,A
259,TCFL5,CD2,-1.0,A
260,NFAT5,S100A4,1.0,A
261,MXD4,ODC1,1.0,A
262,CEBPZ,SOX9,1.0,A
263,CEBPZ,MLH1,-1.0,A
264,TP63,PPARA,1.0,A
265,CEBPZ,COL11A1,-1.0,A
266,KLF11,PDX1,1.0,A
267,AR,KLF5,1.0,A
268,ZNF202,ABCA1,-1.0,A
269,VDR,IL10,-1.0,A
270,USF2,SF1,1.0,A
271,USF2,TGFB2,1.0,A
272,USF2,TCN2,1.0,A
273,USF2,P4HA1,1.0,A
274,USF2,CYP1A2,1.0,A
275,YY1,FDPS,-1.0,A
276,USF2,CEACAM1,1.0,A
277,USF1,SERBP1,1.0,A
278,USF1,TGFB2,1.0,A
279,ZNF143,ESCO2,1.0,A
280,CREB1,POLD2,1.0,A
281,AR,NDRG1,1.0,A
282,AR,PNRC1,1.0,A
283,ATF5,DISC1,1.0,A
284,ATF4,DISC1,1.0,A
285,ATF4,CXCL8,1.0,A
286,ATF2,PCK2,1.0,A
287,ATF2,IMPDH2,1.0,A
288,ATF2,CYP11B2,1.0,A
289,ATF2,CYP11B1,1.0,A
290,ATF1,TOP2A,1.0,A
291,ATF1,SLC20A1,1.0,A
292,ATF1,PLAUR,1.0,A
293,AR,PIGR,1.0,A
294,ATF1,PCSK1,1.0,A
295,ATF1,MAP1LC3B,1.0,A
296,ATF1,LDHA,1.0,A
297,ATF1,FLT1,1.0,A
298,ATF1,ERBB2,1.0,A
299,ATF1,CYP11B2,1.0,A
300,ATF1,CYP11B1,1.0,A
301,ATF1,CCNA1,-1.0,A
302,FOS,ARNT,1.0,A
303,ARNT,BHLHE40,1.0,A
304,AR,TRPS1,1.0,A
305,ATF1,NTS,1.0,A
306,NFIC,JUN,1.0,A
307,CREB1,RRM2B,1.0,A
308,CREB3L1,SLC1A4,-1.0,A
309,EGR1,UBE2S,1.0,A
310,EGR1,TOE1,1.0,A
311,EGR1,TFPI2,1.0,A
312,EGR1,TCF4,1.0,A
313,EGR1,PTP4A1,1.0,A
314,EGR1,PTGS2,1.0,A
315,EGR1,POR,1.0,A
316,EGR1,PLAUR,1.0,A
317,EGR1,PLAU,1.0,A
318,EGR1,PCSK2,1.0,A
319,EGR1,LMTK2,1.0,A
320,EGR1,IL2RB,1.0,A
321,EGR1,HYAL1,1.0,A
322,EGR1,FCER2,-1.0,A
323,EGR1,EP300,1.0,A
324,EGR1,CDK5R1,1.0,A
325,EGR1,IMPDH2,1.0,A
326,EGR1,AKR1B1,1.0,A
327,E2F8,E2F1,-1.0,A
328,E2F7,E2F1,-1.0,A
329,E2F5,MYC,-1.0,A
330,ELK1,ERBB2,1.0,A
331,ELK1,CITED2,1.0,A
332,ELK1,FUT4,1.0,A
333,ELK1,PDGFB,1.0,A
334,ETS1,IL3,-1.0,A
335,ESR2,TFF1,1.0,A
336,ESR2,PTPRC,1.0,A
337,ESR2,MKNK2,1.0,A
338,ESR2,JUN,1.0,A
339,ESR2,FOS,-1.0,A
340,ESR2,CTSD,1.0,A
341,ETS1,ITGB3,1.0,A
342,ESR2,CD68,1.0,A
343,ESR1,YWHAQ,1.0,A
344,E2F4,TOPBP1,-1.0,A
345,ESR1,UGT2B15,1.0,A
346,ESR1,CXCL12,1.0,A
347,ESR1,CTNNB1,-1.0,A
348,ESR1,CHAT,1.0,A
349,ESR1,JUNB,1.0,A
350,ESR1,CEBPB,1.0,A
351,ESR1,BLM,1.0,A
352,ERG,FGF2,-1.0,A
353,ERG,TMPRSS2,1.0,A
354,EPAS1,CA9,1.0,A
355,YY1,EP300,1.0,A
356,ESR1,MICB,1.0,A
357,E2F4,MCM10,-1.0,A
358,E2F4,LIN54,1.0,A
359,E2F4,HCFC1,1.0,A
360,E2F1,FANCA,1.0,A
361,E2F1,ETV4,1.0,A
362,E2F1,ERCC1,1.0,A
363,E2F1,DRAM1,1.0,A
364,E2F1,CUX1,1.0,A
365,E2F1,CTNNBIP1,1.0,A
366,E2F1,DNMT1,1.0,A
367,E2F1,CASP7,1.0,A
368,E2F1,AURKA,1.0,A
369,DNMT1,TIMP3,-1.0,A
370,E2F1,KDR,1.0,A
371,DNMT1,MSH2,1.0,A
372,CTCF,SLC6A4,1.0,A
373,CTCF,SIX5,1.0,A
374,CTCF,PTPRG,1.0,A
375,CTCF,PBXIP1,1.0,A
376,CTCF,ETNK2,1.0,A
377,CTCF,DMPK,1.0,A
378,CTCF,CCND1,1.0,A
379,CTCF,BBC3,1.0,A
380,CTCF,ASAP2,1.0,A
381,CREM,DUSP1,-1.0,A
382,DNMT1,SFRP5,1.0,A
383,CREB1,SLC20A1,1.0,A
384,E2F1,FHIT,-1.0,A
385,E2F1,GINS3,1.0,A
386,E2F4,CUX1,1.0,A
387,E2F4,CDK2,1.0,A
388,E2F4,AURKB,1.0,A
389,E2F3,PLK1,1.0,A
390,E2F1,WWOX,-1.0,A
391,E2F1,ULK1,1.0,A
392,E2F1,TOP2A,1.0,A
393,E2F1,ZNF350,-1.0,A
394,E2F1,RRP1B,1.0,A
395,E2F1,RRM2,1.0,A
396,E2F1,FLT1,1.0,A
397,E2F1,RRM1,1.0,A
398,E2F1,RASGEF1B,1.0,A
399,E2F1,PTPRO,1.0,A
400,E2F1,NPAT,1.0,A
401,E2F1,MYH10,1.0,A
402,E2F1,MYB,1.0,A
403,E2F1,MEFV,1.0,A
404,E2F1,MCM5,1.0,A
405,E2F1,MAPK8,1.0,A
406,E2F1,MAP1LC3A,1.0,A
407,E2F1,IL1B,1.0,A
408,E2F1,RASGRP1,1.0,A
409,NFATC1,IFNG,1.0,A
410,NFE2L2,GSTA1,1.0,A
411,NFE2L2,MTHFR,1.0,A
412,SP1,MNDA,1.0,A
413,SP1,MME,1.0,A
414,SP1,MCTS1,1.0,A
415,SP1,MAT2B,1.0,A
416,SP1,KRT5,1.0,A
417,SP1,KRT19,1.0,A
418,SP1,IMPDH2,1.0,A
419,SP1,HTR1A,1.0,A
420,SP1,HSD17B1,1.0,A
421,SP1,HOXB7,1.0,A
422,SP1,HLA-G,1.0,A
423,SP1,HDAC4,1.0,A
424,SP1,HCN2,1.0,A
425,SP1,IL2RB,1.0,A
426,SP1,GH2,1.0,A
427,SP1,CYP7A1,1.0,A
428,SP1,COL18A1,1.0,A
429,SP1,CD83,1.0,A
430,SP1,CD163,1.0,A
431,SP1,AREG,1.0,A
432,SP1,ADRA2B,1.0,A
433,SP1,MPG,1.0,A
434,SP3,MSH6,1.0,A
435,SP1,NFKB2,1.0,A
436,STAT1,CCL3,1.0,A
437,SP3,SLC19A3,1.0,A
438,SP3,RORA,1.0,A
439,SP3,HOXB7,1.0,A
440,SPI1,CD163,1.0,A
441,SP3,ETF1,-1.0,A
442,SPI1,BPI,1.0,A
443,SP3,CYP17A1,1.0,A
444,SP3,CD83,1.0,A
445,SP3,CD14,1.0,A
446,SP3,BPI,1.0,A
447,SP1,ADRA1A,1.0,A
448,SP2,DNMT3B,1.0,A
449,SP1,YY1,1.0,A
450,SP1,TNFSF14,1.0,A
451,SP1,TGM4,1.0,A
452,SP1,TFPI2,1.0,A
453,SPI1,MSR1,1.0,A
454,SP1,RORA,1.0,A
455,SP1,PPL,1.0,A
456,SPI1,CSF2RA,1.0,A
457,SP1,PDHA1,1.0,A
458,SP1,PDE6A,1.0,A
459,SP100,ETS1,-1.0,A
460,SP1,ADH6,1.0,A
461,SPI1,CD22,1.0,A
462,SP1,ADAM10,1.0,A
463,RUNX3,TCF4,1.0,A
464,RUNX3,MMP9,-1.0,A
465,RUNX3,ICAM3,-1.0,A
466,RUNX3,CFLAR,-1.0,A
467,RUNX3,CASP8,1.0,A
468,RUNX1,PIK3CD,1.0,A
469,RUNX1,NFKB1,1.0,A
470,RUNX1,MECOM,1.0,A
471,RUNX1,MAD2L1,-1.0,A
472,RUNX1,ITGB2,1.0,A
473,RXRA,ABCC3,-1.0,A
474,RORC,IL22,1.0,A
475,RORA,TUBA1B,1.0,A
476,RFX5,HLA-DRB5,1.0,A
477,RFX5,HLA-DRB4,1.0,A
478,RFX5,HLA-DRB3,1.0,A
479,RFX5,HLA-DRA,1.0,A
480,RFX5,HLA-DQB1,1.0,A
481,RFX5,HLA-DQA2,1.0,A
482,RFX5,HLA-DQA1,1.0,A
483,RFX5,HLA-DRB1,1.0,A
484,RFX5,HLA-DPB1,1.0,A
485,RORC,IL17A,1.0,A
486,SP3,SLC1A3,1.0,A
487,RXRA,CPT1B,1.0,A
488,SMAD3,ZFP36,1.0,A
489,SP1,ACAN,1.0,A
490,SOX9,PRAME,-1.0,A
491,SOX6,TP53,1.0,A
492,SOX4,HDAC8,1.0,A
493,SOX2,RHO,-1.0,A
494,SOX2,ISL1,-1.0,A
495,SOX10,COL11A2,1.0,A
496,SP1,AGT,1.0,A
497,SNAI2,JAG1,1.0,A
498,SNAI2,CXCR4,1.0,A
499,SALL4,ZEB1,1.0,A
500,SNAI1,THBS1,-1.0,A
501,SMAD4,ZFP36,1.0,A
502,SMAD4,EPO,1.0,A
503,SMAD4,DACH1,-1.0,A
504,SMAD4,COL7A1,1.0,A
505,SMAD4,BTRC,-1.0,A
506,SMAD4,AHR,1.0,A
507,SMAD3,FSTL3,1.0,A
508,SMAD3,COL7A1,1.0,A
509,SMAD3,AHR,1.0,A
510,SMAD1,TNFRSF11B,1.0,A
511,SNAI1,HBEGF,1.0,A
512,RFX5,HLA-DPA1,1.0,A
513,SP3,TGM4,1.0,A
514,SP4,ERBB2,1.0,A
515,TCF7L2,ABCB1,1.0,A
516,TCF7,SNAI2,1.0,A
517,TCF4,VIM,1.0,A
518,TCF4,NRXN1,1.0,A
519,TCF4,CCND1,1.0,A
520,TCF4,ABCB1,1.0,A
521,TCF3,CDK6,-1.0,A
522,TCF3,BBC3,-1.0,A
523,TBX5,CDKN2A,1.0,A
524,TBP,FUS,-1.0,A
525,TAL1,ERG,1.0,A
526,TAL1,CD34,-1.0,A
527,STAT6,FOS,1.0,A
528,STAT5B,IFNG,1.0,A
529,STAT5B,CEL,1.0,A
530,STAT5B,BCL6,1.0,A
531,STAT5B,ESR2,1.0,A
532,STAT5A,CEL,1.0,A
533,STAT4,SOCS3,-1.0,A
534,STAT4,PIM1,1.0,A
535,STAT3,ZFP36,1.0,A
536,TCF7L2,BIRC5,1.0,A
537,TCF7L2,CTNNB1,1.0,A
538,TCF7L2,SNAI2,1.0,A
539,TCF7L2,STAT3,1.0,A
540,TFAP2B,DRD1,1.0,A
541,TFAP2A,TIMP2,1.0,A
542,TFAP2A,SPRY2,1.0,A
543,TFAP2A,SNAP91,1.0,A
544,TFAP2A,PTGS2,1.0,A
545,TFAP2A,PRKCA,1.0,A
546,TFAP2A,POLD2,1.0,A
547,TFAP2A,L1CAM,1.0,A
548,TFAP2A,KRT5,1.0,A
549,TFAP2A,HTT,1.0,A
550,STAT3,VEGFB,1.0,A
551,TFAP2A,HIP1,1.0,A
552,TFAP2A,GPX4,1.0,A
553,TFAP2A,GAST,1.0,A
554,TFAP2A,GALNT3,1.0,A
555,TFAP2A,CRX,1.0,A
556,TFAP2A,CRABP2,1.0,A
557,TFAP2A,CGA,1.0,A
558,TFAP2A,CFTR,1.0,A
559,TFAP2A,CCNB1,1.0,A
560,TFAP2A,ADRA2B,1.0,A
561,TFAP2A,ADRA1A,1.0,A
562,TFAP2A,GUSB,1.0,A
563,STAT3,NOX5,1.0,A
564,STAT3,MYD88,1.0,A
565,STAT3,LTBP1,-1.0,A
566,STAT1,CFTR,1.0,A
567,STAT1,STAT2,1.0,A
568,STAT1,CEBPE,1.0,A
569,STAT1,CCR1,1.0,A
570,SRF,SAMD4A,1.0,A
571,SRF,MMP2,1.0,A
572,SRF,FOSL1,1.0,A
573,SRF,ACTA1,1.0,A
574,STAT1,APP,1.0,A
575,SPIB,IRF7,-1.0,A
576,STAT1,CTSB,1.0,A
577,SPI1,WAS,1.0,A
578,SPI1,SCARB2,1.0,A
579,SPI1,SCARB1,1.0,A
580,SPI1,P2RY10,1.0,A
581,SPI1,MNDA,1.0,A
582,SPI1,MACROD1,-1.0,A
583,SPI1,IL5,1.0,A
584,SPI1,ERAP2,1.0,A
585,SPDEF,AGR2,1.0,A
586,SP4,YY1,1.0,A
587,SP4,PDE6B,1.0,A
588,SPI1,STAT3,1.0,A
589,SP3,TIMP2,1.0,A
590,STAT1,CTSL,1.0,A
591,STAT1,FGFR3,-1.0,A
592,STAT3,IL2RA,1.0,A
593,STAT3,IFNAR1,1.0,A
594,STAT3,HSPB1,1.0,A
595,STAT3,HMOX1,1.0,A
596,STAT3,FAS,-1.0,A
597,STAT3,CSRP1,1.0,A
598,STAT3,CISH,1.0,A
599,STAT3,CFB,1.0,A
600,STAT3,CDK4,1.0,A
601,STAT3,CCND3,1.0,A
602,STAT1,EGFR,1.0,A
603,STAT1,VIP,1.0,A
604,TP53,STAT1,1.0,A
605,STAT1,TLR3,1.0,A
606,STAT1,TIMP1,1.0,A
607,STAT1,PLSCR1,1.0,A
608,STAT1,PIM1,1.0,A
609,STAT1,NOX5,1.0,A
610,STAT1,KRT17,1.0,A
611,STAT1,IL2RA,1.0,A
612,STAT1,IL1R1,-1.0,A
613,STAT1,HMOX1,1.0,A
614,STAT1,TP53,1.0,A
615,USF1,TCN2,1.0,A
616,RFX5,HLA-DOB,1.0,A
617,RFX5,HLA-DMB,1.0,A
618,NFKB1,SERPINA3,-1.0,A
619,NFKB1,RRM2B,1.0,A
620,NFKB1,PTPN13,1.0,A
621,NFKB1,PTAFR,1.0,A
622,NFKB1,PLAU,1.0,A
623,NFKB1,PDE7A,1.0,A
624,NFKB1,PLAUR,1.0,A
625,NFKB1,NOLC1,1.0,A
626,NFKB1,MMP2,1.0,A
627,NFKB1,MMP14,1.0,A
628,NFKB1,MICA,1.0,A
629,NFKB1,MAT2A,1.0,A
630,NFKB1,MADCAM1,1.0,A
631,NFKB1,LPL,1.0,A
632,NFKB1,KLK3,1.0,A
633,NFKB1,JUNB,1.0,A
634,NFKB1,IRF1,1.0,A
635,NFKB1,IL12B,-1.0,A
636,NFKB1,IL12A,1.0,A
637,NFKB1,HLA-F,1.0,A
638,NFKB1,GSTP1,1.0,A
639,NFKB1,SERPINB1,1.0,A
640,NFKB1,SERPINE1,1.0,A
641,NFKB1,SOCS3,1.0,A
642,NFKB1,TFF3,1.0,A
643,NR1H4,ABCB4,1.0,A
644,NFYB,FXR2,1.0,A
645,NFYA,FXR2,1.0,A
646,NFKB2,SND1,1.0,A
647,NFKB2,CDK6,1.0,A
648,NFKB2,CCND2,1.0,A
649,NFKB2,CCL21,1.0,A
650,NFKB1,XIAP,1.0,A
651,NFKB1,VEGFA,1.0,A
652,NR2F6,LHCGR,-1.0,A
653,NFKB1,RIPK2,1.0,A
654,NFKB1,TRAF1,1.0,A
655,NFKB1,TNFRSF10B,1.0,A
656,NFKB1,TNFRSF10A,1.0,A
657,NFKB1,TNFAIP3,1.0,A
658,NFKB1,TNC,1.0,A
659,PAX6,ITGA5,1.0,A
660,NFKB1,TLR2,1.0,A
661,NFKB1,TIMP1,-1.0,A
662,NFKB1,THBD,-1.0,A
663,NFKB1,TFPI2,1.0,A
664,NFKB1,TBX21,1.0,A
665,NFKB1,TNFSF10,1.0,A
666,NFKB1,GDNF,1.0,A
667,NFKB1,GADD45G,1.0,A
668,NFKB1,VEGFD,1.0,A
669,NFKB1,AMH,1.0,A
670,NFKB1,CD80,1.0,A
671,NFKB1,AKT1,-1.0,A
672,NFKB1,AGER,1.0,A
673,NFKB1,ADORA1,1.0,A
674,NFKB1,ABCB1,1.0,A
675,NFKB1,A2M,1.0,A
676,NFIC,TFPI2,1.0,A
677,NFIC,SLC34A2,1.0,A
678,NFIC,POLE2,1.0,A
679,NFKB1,ATF3,1.0,A
680,NFIC,POLD2,1.0,A
681,NFIC,ITGA5,-1.0,A
682,NFIC,HSD11B2,1.0,A
683,NFIC,HMGB1,1.0,A
684,NFIC,GUCY1B1,1.0,A
685,NFIC,GTF3C2,1.0,A
686,NFIC,GTF3C1,1.0,A
687,NFIC,COL1A1,1.0,A
688,NFIC,COL18A1,1.0,A
689,NFIC,ALAS1,1.0,A
690,NFIA,CDKN1A,-1.0,A
691,NFIC,MATN1,-1.0,A
692,NPAS2,CRY2,1.0,A
693,NFKB1,B2M,1.0,A
694,NFKB1,BIRC3,1.0,A
695,NFKB1,FBP1,1.0,A
696,NFKB1,FASLG,1.0,A
697,NFKB1,F8,1.0,A
698,NFKB1,F3,1.0,A
699,NFKB1,IL18,1.0,A
700,NFKB1,EDN1,1.0,A
701,NFKB1,CYP27B1,1.0,A
702,NFKB1,CYP19A1,-1.0,A
703,NFKB1,CXCL2,1.0,A
704,NFKB1,CTSB,1.0,A
705,NFKB1,BIRC2,1.0,A
706,NFKB1,CSNK2A1,1.0,A
707,NFKB1,CD69,1.0,A
708,NFKB1,CD58,1.0,A
709,NFKB1,CCR7,1.0,A
710,NFKB1,CCND2,1.0,A
711,NFKB1,CCL5,1.0,A
712,NFKB1,CCL4,1.0,A
713,NFKB1,CCL3,1.0,A
714,NFKB1,CCL22,1.0,A
715,NFKB1,CD83,1.0,A
716,NFKB1,BST1,1.0,A
717,NFKB1,CD86,1.0,A
718,RFX5,HLA-DOA,1.0,A
719,NR1H4,NR1I2,1.0,A
720,NR3C1,ATF2,-1.0,A
721,RELA,IRF4,1.0,A
722,RELA,IL1A,1.0,A
723,RELA,IL18,1.0,A
724,RELA,HDAC1,1.0,A
725,RELA,GADD45G,1.0,A
726,RELA,VEGFD,1.0,A
727,RELA,EPAS1,1.0,A
728,E2F1,RELA,1.0,A
729,RELA,XIAP,1.0,A
730,RELA,CTSB,1.0,A
731,RELA,COL2A1,-1.0,A
732,RELA,COL1A1,-1.0,A
733,RELA,CFLAR,1.0,A
734,RELA,CDK6,1.0,A
735,RELA,CDK4,1.0,A
736,RELA,CD83,1.0,A
737,RELA,CD69,1.0,A
738,RELA,CD58,1.0,A
739,RELA,PPARD,-1.0,A
740,RELA,CCL4,1.0,A
741,RELA,BIRC5,1.0,A
742,RELA,KLK3,1.0,A
743,RELA,MMP14,1.0,A
