,source,target,weight,confidence
11206,MITF,NPAS3,0.5,B
11207,MITF,NPC1,0.5,B
11208,MITF,NRG3,0.5,B
11209,MITF,NRP2,0.5,B
11210,MITF,NRXN1,0.5,B
11211,MITF,NSMAF,0.5,B
11212,MITF,NEK6,0.5,B
11213,MITF,NSMCE2,0.5,B
11214,MITF,OGDH,0.5,B
11215,MITF,OSBPL3,0.5,B
11216,MITF,OSBPL9,0.5,B
11217,MITF,OTUD7B,0.5,B
11218,MITF,PACRG,0.5,B
11219,MITF,PACSIN2,0.5,B
11220,MITF,PARVA,0.5,B
11221,MITF,PCBP1,0.5,B
11222,MITF,PDE4B,0.5,B
11223,MITF,PDE4D,0.5,B
11224,MITF,NUP93,0.5,B
11225,MITF,PDE8A,0.5,B
11226,MITF,NEDD9,0.5,B
11227,MITF,NDUFAF6,0.5,B
11228,MITF,MICAL2,0.5,B
11229,MITF,MICAL3,0.5,B
11230,MITF,MID1,0.5,B
11231,MITF,MIDEAS,0.5,B
11232,MITF,MLPH,0.5,B
11233,MITF,MME,0.5,B
11234,MITF,MPZL1,0.5,B
11235,MITF,MRTFB,0.5,B
11236,MITF,MSI2,0.5,B
11237,MITF,MTSS1,0.5,B
11238,MITF,NEDD4L,0.5,B
11239,MITF,MTUS1,0.5,B
11240,MITF,MYLK,0.5,B
11241,MITF,MYO16,0.5,B
11242,MITF,MYO1E,0.5,B
11243,MITF,MYO5A,0.5,B
11244,MITF,NARF,0.5,B
11245,MITF,NAV2,0.5,B
11246,MITF,NCALD,0.5,B
11247,MITF,NCK2,0.5,B
11248,MITF,NCOR2,0.5,B
11249,MITF,NDST1,0.5,B
11250,MITF,MYH10,0.5,B
11251,MITF,MGLL,0.5,B
11252,MITF,PDZD2,0.5,B
11253,MITF,PHACTR1,0.5,B
11254,MITF,PTPRM,0.5,B
11255,MITF,RAD51B,0.5,B
11256,MITF,RAP1GAP,0.5,B
11257,MITF,RAPGEF1,0.5,B
11258,MITF,RASA3,0.5,B
11259,MITF,RASGRF1,0.5,B
11260,MITF,RBFOX1,0.5,B
11261,MITF,RBMS1,0.5,B
11262,MITF,RBPJ,0.5,B
11263,MITF,RELN,0.5,B
11264,MITF,PTPRJ,0.5,B
11265,MITF,RERE,0.5,B
11266,MITF,RGS3,0.5,B
11267,MITF,RNF115,0.5,B
11268,MITF,RNF144A,0.5,B
11269,MITF,RNF146,0.5,B
11270,MITF,RNF220,0.5,B
11271,MITF,RPGR,0.5,B
11272,MITF,RPS6KA2,0.5,B
11273,MITF,RPTOR,0.5,B
11274,MITF,RREB1,0.5,B
11275,MITF,RTN4,0.5,B
11276,MITF,RGL1,0.5,B
11277,MITF,PFKFB3,0.5,B
11278,MITF,PTCH1,0.5,B
11279,MITF,PRUNE2,0.5,B
11280,MITF,PHACTR3,0.5,B
11281,MITF,PHC2,0.5,B
11282,MITF,PHGDH,0.5,B
11283,MITF,PIP4K2A,0.5,B
11284,MITF,PLA2G6,0.5,B
11285,MITF,PLB1,0.5,B
11286,MITF,PLD1,0.5,B
11287,MITF,PLEKHA7,0.5,B
11288,MITF,PLEKHG3,0.5,B
11289,MITF,PLXNA2,0.5,B
11290,MITF,PSAP,0.5,B
11291,MITF,PLXNC1,0.5,B
11292,MITF,POU6F2,0.5,B
11293,MITF,PPM1H,0.5,B
11294,MITF,PPP2R5C,0.5,B
11295,MITF,PPP6R3,0.5,B
11296,MITF,PREX1,0.5,B
11297,MITF,PRKAG2,0.5,B
11298,MITF,PRKCE,0.5,B
11299,MITF,PRKCH,0.5,B
11300,MITF,PRKN,0.5,B
11301,MITF,PRRC2B,0.5,B
11302,MITF,POLR1A,0.5,B
11303,MITF,RUNX1,0.5,B
11304,MITF,MGA,0.5,B
11305,MITF,MDGA2,0.5,B
11306,MITF,FNIP2,0.5,B
11307,MITF,FOXK1,0.5,B
11308,MITF,FOXN3,0.5,B
11309,MITF,FOXO3,0.5,B
11310,MITF,FOXP1,0.5,B
11311,MITF,FRMD4A,0.5,B
11312,MITF,FRMD4B,0.5,B
11313,MITF,FTO,0.5,B
11314,MITF,FYN,0.5,B
11315,MITF,GABBR2,0.5,B
11316,MITF,FNDC3B,0.5,B
11317,MITF,GARNL3,0.5,B
11318,MITF,GATAD2A,0.5,B
11319,MITF,GLMP,0.5,B
11320,MITF,GMDS,0.5,B
11321,MITF,GMPR,0.5,B
11322,MITF,GPAT4,0.5,B
11323,MITF,GPR137B,0.5,B
11324,MITF,GRAP2,0.5,B
11325,MITF,GRB10,0.5,B
11326,MITF,GRIK3,0.5,B
11327,MITF,GSE1,0.5,B
11328,MITF,GAS7,0.5,B
11329,MITF,GSN,0.5,B
11330,MITF,FMN1,0.5,B
11331,MITF,FHAD1,0.5,B
11332,MITF,DTNB,0.5,B
11333,MITF,DTNBP1,0.5,B
11334,MITF,DYM,0.5,B
11335,MITF,DYRK1A,0.5,B
11336,MITF,ECE1,0.5,B
11337,MITF,EEF2K,0.5,B
11338,MITF,EFCAB6,0.5,B
11339,MITF,EGFR,0.5,B
11340,MITF,EGLN3,0.5,B
11341,MITF,EMP1,0.5,B
11342,MITF,FKBP5,0.5,B
11343,MITF,EPG5,0.5,B
11344,MITF,ERG,0.5,B
11345,MITF,ETS1,0.5,B
11346,MITF,ETV4,0.5,B
11347,MITF,ETV5,0.5,B
11348,MITF,ETV6,0.5,B
11349,MITF,EEIG1,0.5,B
11350,MITF,FAM13A,0.5,B
11351,MITF,FAM178B,0.5,B
11352,MITF,FARP1,0.5,B
11353,MITF,FGGY,0.5,B
11354,MITF,EPHB1,0.5,B
11355,MITF,MED15,0.5,B
11356,MITF,GTDC1,0.5,B
11357,MITF,HHAT,0.5,B
11358,MITF,LHFPL2,0.5,B
11359,MITF,LHFPL3,0.5,B
11360,MITF,LIMD1,0.5,B
11361,MITF,LINC00322,0.5,B
11362,MITF,LINGO1,0.5,B
11363,MITF,LITAF,0.5,B
11364,MITF,LMNA,0.5,B
11365,MITF,LNPK,0.5,B
11366,MITF,LPP,0.5,B
11367,MITF,LRCH1,0.5,B
11368,MITF,LDLRAD3,0.5,B
11369,MITF,LSAMP,0.5,B
11370,MITF,MACROD2,0.5,B
11371,MITF,MAD1L1,0.5,B
11372,MITF,MAEA,0.5,B
11373,MITF,MAN1C1,0.5,B
11374,MITF,MAP4K4,0.5,B
11375,ZNF263,KIF1A,0.5,B
11376,MITF,MBP,0.5,B
11377,MITF,MCC,0.5,B
11378,MITF,MCF2L,0.5,B
11379,MITF,MCF2L2,0.5,B
11380,MITF,MACF1,0.5,B
11381,MITF,HDAC4,0.5,B
11382,MITF,LARP1,0.5,B
11383,MITF,KLHDC4,0.5,B
11384,MITF,HIVEP2,0.5,B
11385,MITF,HIVEP3,0.5,B
11386,MITF,HPCAL1,0.5,B
11387,MITF,ICA1,0.5,B
11388,MITF,IGF1R,0.5,B
11389,MITF,IGF2BP2,0.5,B
11390,MITF,IGF2R,0.5,B
11391,MITF,IL16,0.5,B
11392,MITF,INPP4B,0.5,B
11393,MITF,IQSEC1,0.5,B
11394,MITF,LARGE1,0.5,B
11395,MITF,ITGB5,0.5,B
11396,MITF,ITPKB,0.5,B
11397,ZNF263,KLHL29,0.5,B
11398,MITF,JARID2,0.5,B
11399,MITF,JAZF1,0.5,B
11400,MITF,KCNAB2,0.5,B
11401,MITF,KDM4B,0.5,B
11402,MITF,KDM4C,0.5,B
11403,MITF,KIAA0930,0.5,B
11404,MITF,KIAA1671,0.5,B
11405,MITF,KIF6,0.5,B
11406,MITF,ITGB6,0.5,B
11407,RUNX1,SMYD3,0.5,B
11408,MITF,SAMD4A,0.5,B
11409,MITF,SCARB1,0.5,B
11410,NFE2L2,TGIF1,0.5,B
11411,NFIC,APP,0.5,B
11412,NFIC,ARID1A,0.5,B
11413,NFIC,MBP,0.5,B
11414,NFIC,NDST1,0.5,B
11415,NFIC,TNS1,0.5,B
11416,TP53,NFIC,0.5,B
11417,NFKB1,ARID1A,0.5,B
11418,NFKB1,CCL17,0.5,B
11419,NFKB1,CD274,0.5,B
11420,NFE2L1,PARVA,0.5,B
11421,NFKB1,CD44,0.5,B
11422,TFAP2A,ESR1,0.5,B
11423,NFKB1,GATAD2A,0.5,B
11424,NFKB1,HNRNPL,0.5,B
11425,NFKB1,IL15RA,0.5,B
11426,NFKB1,IL1R1,0.5,B
11427,NFKB1,IL4R,0.5,B
11428,NFKB1,KCNMA1,0.5,B
11429,NFKB2,BCL3,0.5,B
11430,NFKB2,CD58,0.5,B
11431,NFKB2,NEURL3,0.5,B
11432,NFKB1,FSCN1,0.5,B
11433,NFKB2,RARA,0.5,B
11434,NFATC1,NEDD9,0.5,B
11435,NFATC1,CREB5,0.5,B
11436,MNT,PLEC,0.5,B
11437,MNT,SH3BP2,0.5,B
11438,MXI1,CAST,0.5,B
11439,MXI1,CTBP2,0.5,B
11440,MXI1,DST,0.5,B
11441,MXI1,FAM13A,0.5,B
11442,MXI1,SSBP3,0.5,B
11443,MYB,KCNMA1,0.5,B
11444,ZNF263,KIAA0513,0.5,B
11445,MYC,CMIP,0.5,B
11446,NFATC1,FYN,0.5,B
11447,MYC,GMDS,0.5,B
11448,MYC,PTPRF,0.5,B
11449,MYC,RAB11A,0.5,B
11450,MYC,RPS6KA2,0.5,B
11451,ZNF263,KDM2B,0.5,B
11452,MYC,SLC1A5,0.5,B
11453,MYC,TRIB1,0.5,B
11454,MYC,UBE2D3,0.5,B
11455,MYC,ZFP36L2,0.5,B
11456,MYCN,PRR5,0.5,B
11457,NEUROD1,GRM4,0.5,B
11458,MYC,IER2,0.5,B
11459,MNT,GATAD2A,0.5,B
11460,NFKB2,TNFAIP3,0.5,B
11461,NFKB2,TRAF1,0.5,B
11462,NRF1,OTUD5,0.5,B
11463,RUNX3,PAX5,0.5,B
11464,PBX2,PHF21A,0.5,B
11465,PBX3,MEIS2,0.5,B
11466,PBX3,PBX1,0.5,B
11467,PGR,ADD3,0.5,B
11468,ZNF263,KCNQ1,0.5,B
11469,PGR,UST,0.5,B
11470,POU2F1,ERVW-1,0.5,B
11471,POU2F1,H2BC5,0.5,B
11472,NRF1,KDM2A,0.5,B
11473,POU2F2,LRRK1,0.5,B
11474,POU2F2,POU2AF1,0.5,B
11475,STAT1,POU2F2,0.5,B
11476,POU2F2,STK10,0.5,B
11477,KLF1,HBB,0.5,B
11478,PPARA,PDHA1,0.5,B
11479,PPARG,ACACB,0.5,B
11480,PPARG,ACSL3,0.5,B
11481,PPARG,ACSL5,0.5,B
11482,PPARG,CPT1A,0.5,B
11483,PPARG,SORBS1,0.5,B
11484,POU2F2,LYN,0.5,B
11485,NFKB2,TNIP1,0.5,B
11486,NRF1,CRTC1,0.5,B
11487,NR3C1,GTDC1,0.5,B
11488,NFYA,AP3M2,0.5,B
11489,NFYA,CD74,0.5,B
11490,NFYA,ZNF608,0.5,B
11491,NFYB,CCNB1,0.5,B
11492,NFYB,CREBRF,0.5,B
11493,NFYB,CRYZL1,0.5,B
11494,NFYB,PCNA,0.5,B
11495,NR1H2,FASN,0.5,B
11496,NR1H2,PPARG,0.5,B
11497,NR2C2,ASXL1,0.5,B
11498,NR3C1,ZBTB38,0.5,B
11499,NR2C2,GCC2,0.5,B
11500,NR2C2,TAF2,0.5,B
11501,NR2F2,ARHGEF2,0.5,B
11502,NR2F2,LTBP4,0.5,B
11503,ZNF263,KCP,0.5,B
11504,ZNF263,KCNQ2,0.5,B
11505,NR2F2,RFTN1,0.5,B
11506,NR2F2,TNS1,0.5,B
11507,NR2F6,AGPAT3,0.5,B
11508,NR2F6,RAB11FIP4,0.5,B
11509,NR3C1,ASAP2,0.5,B
11510,NR2C2,SNRNP200,0.5,B
11511,MITF,SASH1,0.5,B
11512,MITF,ZNRF1,0.5,B
11513,MITF,ZNF608,0.5,B
11514,MITF,SOD2,0.5,B
11515,MITF,SORBS1,0.5,B
11516,MITF,SORBS2,0.5,B
11517,MITF,SOX6,0.5,B
11518,MITF,SPART,0.5,B
11519,MITF,SPIRE1,0.5,B
11520,MITF,SPOCK1,0.5,B
11521,MITF,SPTBN1,0.5,B
11522,MITF,SSBP3,0.5,B
11523,MITF,SSH1,0.5,B
11524,MITF,SNX9,0.5,B
11525,MITF,ST3GAL6,0.5,B
11526,ZNF263,NHSL3,0.5,B
11527,MITF,STAT3,0.5,B
11528,MITF,STK10,0.5,B
11529,MITF,STK32B,0.5,B
11530,MITF,STXBP1,0.5,B
11531,MITF,STXBP5,0.5,B
11532,MITF,SVIL,0.5,B
11533,MITF,SYN3,0.5,B
11534,MITF,SYNE2,0.5,B
11535,MITF,TACC1,0.5,B
11536,MITF,ST6GAL1,0.5,B
11537,MITF,TAFA5,0.5,B
11538,MITF,SNX8,0.5,B
11539,MITF,SND1,0.5,B
11540,MITF,SCRN1,0.5,B
11541,MITF,SDK1,0.5,B
11542,MITF,SEMA5A,0.5,B
11543,MITF,SEPTIN9,0.5,B
11544,MITF,SERINC5,0.5,B
11545,MITF,SH3KBP1,0.5,B
11546,MITF,SH3PXD2B,0.5,B
11547,MITF,SHANK2,0.5,B
11548,MITF,SIL1,0.5,B
11549,MITF,SIPA1L2,0.5,B
11550,MITF,SNX29,0.5,B
11551,MITF,SIPA1L3,0.5,B
11552,MITF,SLC23A2,0.5,B
11553,MITF,SLC25A26,0.5,B
11554,MITF,SLC39A11,0.5,B
11555,MITF,SLC44A1,0.5,B
11556,MITF,SLC44A3,0.5,B
11557,MITF,SLC7A1,0.5,B
11558,MITF,SLC8A1,0.5,B
11559,MITF,SLC9A1,0.5,B
11560,MITF,SLCO3A1,0.5,B
11561,MITF,SLIT3,0.5,B
11562,MITF,SLC22A23,0.5,B
11563,MITF,ZNF704,0.5,B
11564,MITF,TBC1D14,0.5,B
11565,MITF,TEX2,0.5,B
11566,MITF,USP48,0.5,B
11567,MITF,USP6NL,0.5,B
11568,MITF,UST,0.5,B
11569,MITF,UTP25,0.5,B
11570,MITF,VAC14,0.5,B
11571,MITF,VAPA,0.5,B
11572,MITF,VAV3,0.5,B
11573,MITF,VGLL4,0.5,B
11574,MITF,VPS13D,0.5,B
11575,MITF,VPS53,0.5,B
11576,MITF,ULK4,0.5,B
11577,MITF,WDFY1,0.5,B
11578,MITF,XPNPEP1,0.5,B
11579,MITF,XXYLT1,0.5,B
11580,MITF,XYLT1,0.5,B
11581,MITF,ZBTB38,0.5,B
11582,MITF,ZHX3,0.5,B
11583,MITF,ZMIZ1,0.5,B
11584,MITF,ZMYND8,0.5,B
11585,MITF,ZNF131,0.5,B
11586,MITF,ZNF365,0.5,B
11587,MITF,ZNF521,0.5,B
11588,MITF,WWP2,0.5,B
11589,MITF,TENM4,0.5,B
11590,MITF,UBE4B,0.5,B
11591,MITF,TSPAN9,0.5,B
11592,MITF,THADA,0.5,B
11593,MITF,TIAM1,0.5,B
11594,MITF,TLE3,0.5,B
11595,MITF,TLN2,0.5,B
11596,MITF,TMCC2,0.5,B
11597,MITF,TMEM131,0.5,B
11598,MITF,TMEM132B,0.5,B
11599,MITF,TMEM163,0.5,B
11600,MITF,TMEM229B,0.5,B
11601,MITF,TNRC6B,0.5,B
11602,MITF,TTLL4,0.5,B
11603,MITF,TNS3,0.5,B
11604,MITF,TPCN2,0.5,B
11605,MITF,TRAK1,0.5,B
11606,MITF,TRAPPC9,0.5,B
11607,MITF,TRIB1,0.5,B
11608,MITF,TRIM2,0.5,B
11609,MITF,TRIO,0.5,B
11610,MITF,TRPM8,0.5,B
11611,MITF,TRPS1,0.5,B
11612,MITF,TSC22D2,0.5,B
11613,MITF,TSPAN14,0.5,B
11614,MITF,TOM1,0.5,B
11615,RUNX1,SND1,0.5,B
11616,RUNX1,SPIDR,0.5,B
11617,RUNX1,SPRED2,0.5,B
11618,SPI1,PLA2G4A,0.5,B
11619,SPI1,PLCB1,0.5,B
11620,SPI1,PLCG2,0.5,B
11621,SPI1,PLCL1,0.5,B
11622,SPI1,PLCL2,0.5,B
11623,SPI1,PLD1,0.5,B
11624,SPI1,PLEKHA2,0.5,B
11625,SPI1,PLXNA2,0.5,B
11626,SPI1,PLXNC1,0.5,B
11627,SPI1,POLD4,0.5,B
11628,SPI1,PIK3R5,0.5,B
11629,SPI1,PPCDC,0.5,B
11630,SPI1,PPIB,0.5,B
11631,SPI1,PPM1H,0.5,B
11632,SPI1,PPP3CA,0.5,B
11633,SPI1,PRKAG2,0.5,B
11634,SPI1,PRKCB,0.5,B
11635,SPI1,PRKCE,0.5,B
11636,SPI1,PRKCH,0.5,B
11637,SPI1,PRR5L,0.5,B
11638,SPI1,PSD4,0.5,B
11639,SPI1,PSMB3,0.5,B
11640,SPI1,PPFIBP2,0.5,B
11641,SPI1,PTK2,0.5,B
11642,SPI1,PIK3R1,0.5,B
11643,SPI1,PICALM,0.5,B
11644,SPI1,NEDD4L,0.5,B
11645,SPI1,NEDD9,0.5,B
11646,SPI1,NEK7,0.5,B
11647,SPI1,NFKB1,0.5,B
11648,SPI1,NIBAN1,0.5,B
11649,SPI1,NOD2,0.5,B
11650,SPI1,NRCAM,0.5,B
11651,SPI1,NRXN2,0.5,B
11652,SPI1,NSMCE2,0.5,B
11653,SPI1,NUP210,0.5,B
11654,SPI1,PIK3CG,0.5,B
11655,SPI1,OSBPL3,0.5,B
11656,SPI1,PAM,0.5,B
11657,SPI1,PCNX2,0.5,B
11658,SPI1,PDE4B,0.5,B
11659,SPI1,PDE4D,0.5,B
11660,SPI1,PDE8A,0.5,B
11661,SPI1,PHACTR1,0.5,B
11662,SPI1,PHACTR2,0.5,B
11663,SPI1,PHC2,0.5,B
11664,SPI1,PHLPP1,0.5,B
11665,SPI1,PHTF2,0.5,B
11666,SPI1,PACSIN2,0.5,B
11667,SPI1,NCOR2,0.5,B
11668,SPI1,PTK2B,0.5,B
11669,SPI1,RAB31,0.5,B
11670,SPI1,SH3BP2,0.5,B
11671,SPI1,SH3BP5,0.5,B
11672,SPI1,SIK3,0.5,B
11673,SPI1,SIL1,0.5,B
11674,SPI1,SIPA1L1,0.5,B
11675,SPI1,SIPA1L3,0.5,B
11676,SPI1,SLC6A6,0.5,B
11677,SPI1,SLC8A1,0.5,B
11678,SPI1,SLC9A1,0.5,B
11679,ZNF263,GNAO1,0.5,B
11680,SPI1,SGMS1,0.5,B
11681,SPI1,SLCO3A1,0.5,B
11682,SPI1,SMAD3,0.5,B
11683,SPI1,SMYD3,0.5,B
11684,SPI1,SND1,0.5,B
11685,SPI1,SNX10,0.5,B
11686,SPI1,SORL1,0.5,B
11687,SPI1,SPAG9,0.5,B
11688,SPI1,SPATS2L,0.5,B
11689,SPI1,SPIDR,0.5,B
11690,SPI1,SPRED2,0.5,B
11691,SPI1,SPTBN1,0.5,B
11692,SPI1,SMAD2,0.5,B
11693,SPI1,PTPRJ,0.5,B
11694,SPI1,SEPTIN9,0.5,B
11695,SPI1,SEC14L1,0.5,B
11696,SPI1,RABGAP1L,0.5,B
11697,SPI1,RAD51B,0.5,B
11698,SPI1,RAP1GAP2,0.5,B
11699,SPI1,RAPGEF1,0.5,B
11700,SPI1,RAPGEF6,0.5,B
11701,SPI1,RASA3,0.5,B
11702,SPI1,RASSF2,0.5,B
11703,SPI1,RBM47,0.5,B
11704,SPI1,RBMS1,0.5,B
11705,SPI1,RCAN1,0.5,B
11706,SPI1,SEMA4D,0.5,B
11707,ZNF263,GNAZ,0.5,B
11708,SPI1,RFTN1,0.5,B
11709,SPI1,RFX3,0.5,B
11710,SPI1,RGS12,0.5,B
11711,SPI1,RIN3,0.5,B
11712,SPI1,RPS6KA1,0.5,B
11713,SPI1,RPS6KA2,0.5,B
11714,SPI1,RREB1,0.5,B
11715,SPI1,RTN4,0.5,B
11716,SPI1,SAMD4A,0.5,B
11717,SPI1,SAMSN1,0.5,B
11718,SPI1,RERE,0.5,B
11719,SPI1,ST14,0.5,B
11720,SPI1,NCOA1,0.5,B
11721,SPI1,NCALD,0.5,B
11722,SPI1,FNBP1,0.5,B
11723,SPI1,FNDC3B,0.5,B
11724,SPI1,FOXN3,0.5,B
11725,SPI1,FOXP1,0.5,B
11726,SPI1,FRMD4B,0.5,B
11727,SPI1,FTO,0.5,B
11728,SPI1,FYB1,0.5,B
11729,SPI1,FYN,0.5,B
11730,SPI1,GALNT10,0.5,B
11731,SPI1,GALNT2,0.5,B
11732,SPI1,FLT1,0.5,B
11733,SPI1,GAS7,0.5,B
11734,SPI1,GFOD1,0.5,B
11735,SPI1,GNAQ,0.5,B
11736,SPI1,GSAP,0.5,B
11737,SPI1,GTDC1,0.5,B
11738,SPI1,HDAC4,0.5,B
11739,SPI1,HDAC9,0.5,B
11740,SPI1,HERC1,0.5,B
11741,SPI1,HIP1,0.5,B
11742,SPI1,HIVEP3,0.5,B
11743,SPI1,HPCAL1,0.5,B
11744,SPI1,GATAD2A,0.5,B
11745,SPI1,IER5,0.5,B
11746,SPI1,FLNB,0.5,B
11747,SPI1,FILIP1L,0.5,B
11748,SPI1,DUSP10,0.5,B
11749,SPI1,DUSP22,0.5,B
11750,SPI1,ECE1,0.5,B
11751,ZNF263,GSE1,0.5,B
11752,SPI1,EGLN3,0.5,B
11753,SPI1,EHMT1,0.5,B
11754,SPI1,EIF4G3,0.5,B
11755,SPI1,ELMO1,0.5,B
11756,SPI1,ENTPD1,0.5,B
11757,SPI1,EPB41L1,0.5,B
11758,ZNF263,GRIP2,0.5,B
11759,SPI1,ERC1,0.5,B
11760,SPI1,EVI2B,0.5,B
11761,SPI1,EXOC4,0.5,B
11762,SPI1,FAM13A,0.5,B
11763,SPI1,FBXW11,0.5,B
11764,SPI1,FCGR2B,0.5,B
11765,SPI1,FCHSD2,0.5,B
11766,SPI1,FGD2,0.5,B
11767,SPI1,FGGY,0.5,B
11768,ZNF263,GRM4,0.5,B
11769,SPI1,FHIT,0.5,B
11770,SPI1,ETV6,0.5,B
11771,SPI1,NCKAP1L,0.5,B
11772,SPI1,IGF1R,0.5,B
11773,SPI1,IL16,0.5,B
11774,SPI1,LYN,0.5,B
11775,SPI1,MACF1,0.5,B
11776,SPI1,MAP3K5,0.5,B
11777,SPI1,MAP4K4,0.5,B
11778,SPI1,MAPKAPK2,0.5,B
11779,SPI1,MARCHF1,0.5,B
11780,SPI1,MARCHF3,0.5,B
11781,SPI1,MBNL1,0.5,B
11782,SPI1,MCF2L2,0.5,B
11783,ZNF263,GRIN1,0.5,B
11784,SPI1,LRRFIP1,0.5,B
11785,SPI1,MCTP1,0.5,B
11786,SPI1,MEF2C,0.5,B
11787,SPI1,MGAT5,0.5,B
11788,SPI1,MGLL,0.5,B
11789,SPI1,MRTFA,0.5,B
11790,SPI1,MTSS1,0.5,B
11791,SPI1,MYCBP2,0.5,B
11792,SPI1,MYH9,0.5,B
11793,SPI1,MYO1B,0.5,B
11794,SPI1,MYOF,0.5,B
11795,SPI1,NBAS,0.5,B
11796,SPI1,MCTP2,0.5,B
11797,SPI1,IGF2R,0.5,B
11798,SPI1,LRCH1,0.5,B
11799,SPI1,LIMS1,0.5,B
11800,SPI1,INPP4A,0.5,B
11801,SPI1,INPP5A,0.5,B
11802,SPI1,INPP5D,0.5,B
11803,SPI1,IPCEF1,0.5,B
11804,SPI1,IQGAP2,0.5,B
11805,SPI1,IQSEC1,0.5,B
11806,SPI1,IRF5,0.5,B
11807,SPI1,ITPKB,0.5,B
11808,SPI1,ITPR1,0.5,B
11809,SPI1,ITPR2,0.5,B
11810,SPI1,LPP,0.5,B
11811,SPI1,JARID2,0.5,B
11812,SPI1,KDM4C,0.5,B
11813,SPI1,KIAA0930,0.5,B
11814,SPI1,KIF18B,0.5,B
11815,SPI1,KLF9,0.5,B
11816,SPI1,KMO,0.5,B
11817,SPI1,LCP1,0.5,B
11818,SPI1,LDLRAD4,0.5,B
11819,SPI1,LHFPL2,0.5,B
11820,SPI1,LHPP,0.5,B
11821,SPI1,LILRA2,0.5,B
11822,SPI1,JMJD1C,0.5,B
11823,SPI1,DTNB,0.5,B
11824,SPI1,ST6GAL1,0.5,B
11825,SPI1,STARD13,0.5,B
11826,STAT1,CEMIP2,0.5,B
11827,STAT1,CFAP46,0.5,B
11828,STAT1,CFB,0.5,B
11829,STAT1,CFLAR,0.5,B
11830,STAT1,CHD9,0.5,B
11831,STAT1,CHN2,0.5,B
11832,STAT1,CHST15,0.5,B
11833,STAT1,CLIP2,0.5,B
11834,STAT1,CMKLR1,0.5,B
11835,STAT1,CMTM7,0.5,B
11836,STAT1,CELF1,0.5,B
11837,STAT1,CPQ,0.5,B
11838,STAT1,CUEDC1,0.5,B
11839,STAT1,CUX1,0.5,B
11840,STAT1,CYBB,0.5,B
11841,ZNF263,GABBR2,0.5,B
11842,STAT1,CYRIB,0.5,B
11843,STAT1,CYTH1,0.5,B
11844,STAT1,CYTH4,0.5,B
11845,STAT1,DAPK1,0.5,B
11846,STAT1,DENND3,0.5,B
11847,STAT1,DGKG,0.5,B
11848,STAT1,CRYBG1,0.5,B
11849,STAT1,DIAPH1,0.5,B
11850,STAT1,CDK6,0.5,B
11851,STAT1,CDK19,0.5,B
11852,STAT1,ATXN1,0.5,B
11853,STAT1,BANP,0.5,B
11854,STAT1,BCAR3,0.5,B
11855,STAT1,BCAT1,0.5,B
11856,STAT1,BCL11A,0.5,B
11857,STAT1,BCL3,0.5,B
11858,STAT1,BCOR,0.5,B
11859,STAT1,BIN1,0.5,B
11860,STAT1,BLVRA,0.5,B
11861,STAT1,BTBD1,0.5,B
11862,STAT1,CDK5RAP2,0.5,B
11863,STAT1,CACNA1A,0.5,B
11864,STAT1,CAST,0.5,B
11865,STAT1,CCDC12,0.5,B
11866,STAT1,CCDC88C,0.5,B
11867,STAT1,CD180,0.5,B
11868,STAT1,CD44,0.5,B
11869,STAT1,CD82,0.5,B
11870,STAT1,CD83,0.5,B
11871,STAT1,CDC42EP3,0.5,B
11872,STAT1,CDC42SE2,0.5,B
11873,STAT1,CDH23,0.5,B
11874,STAT1,CASP7,0.5,B
11875,STAT1,ATR,0.5,B
11876,STAT1,DLEU1,0.5,B
11877,STAT1,DNAJB12,0.5,B
11878,ZNF263,FLNC,0.5,B
11879,STAT1,ERN1,0.5,B
11880,STAT1,ETV6,0.5,B
11881,STAT1,FAM78A,0.5,B
11882,ZNF263,FIBCD1,0.5,B
11883,STAT1,FCHSD2,0.5,B
11884,STAT1,FGGY,0.5,B
11885,STAT1,FHAD1,0.5,B
11886,STAT1,FKBP5,0.5,B
11887,STAT1,FNBP1,0.5,B
11888,STAT1,ERGIC1,0.5,B
11889,STAT1,FNDC3B,0.5,B
11890,STAT1,FOXK1,0.5,B
11891,ZNF263,FGFR3,0.5,B
11892,ZNF263,FBRSL1,0.5,B
11893,STAT1,FOXN3,0.5,B
11894,ZNF263,FBRS,0.5,B
11895,STAT1,FRMD4B,0.5,B
11896,STAT1,FYB1,0.5,B
11897,STAT1,FYN,0.5,B
11898,STAT1,GAB2,0.5,B
11899,STAT1,GAS7,0.5,B
11900,STAT1,FNIP2,0.5,B
11901,STAT1,DMXL2,0.5,B
11902,STAT1,ERCC1,0.5,B
11903,STAT1,EPB41L3,0.5,B
11904,STAT1,DNM2,0.5,B
11905,STAT1,DNMT1,0.5,B
11906,STAT1,DOCK10,0.5,B
11907,STAT1,DOCK4,0.5,B
11908,STAT1,DOCK8,0.5,B
11909,STAT1,DPYSL2,0.5,B
11910,STAT1,DSE,0.5,B
11911,STAT1,DTNB,0.5,B
11912,STAT1,DTNBP1,0.5,B
11913,STAT1,DUSP10,0.5,B
11914,STAT1,ERC2,0.5,B
11915,STAT1,DUSP22,0.5,B
11916,ZNF263,FTCD,0.5,B
11917,STAT1,EEF2K,0.5,B
11918,STAT1,EHD1,0.5,B
11919,ZNF263,FRMD1,0.5,B
11920,STAT1,EIF4E,0.5,B
